Date,People saw 0 cars (unique),People saw +1 cars (unique),Coverage Ratio (unique)
2016-12-12 07,21,13,38
2016-12-12 06,10,2,17
2016-12-12 05,2,0,0
2016-12-12 04,6,0,0
2016-12-12 03,5,2,29
2016-12-12 02,5,5,50
2016-12-12 01,9,19,68
2016-12-12 00,17,43,72
2016-12-11 23,37,39,51
2016-12-11 22,10,48,83
2016-12-11 21,12,41,77
2016-12-11 20,9,54,86
2016-12-11 19,23,53,70
2016-12-11 18,24,67,74
2016-12-11 17,25,47,65
2016-12-11 16,14,34,71
2016-12-11 15,10,35,78
2016-12-11 14,26,41,61
2016-12-11 13,20,32,62
2016-12-11 12,32,30,48
2016-12-11 11,23,19,45
2016-12-11 10,10,14,58
2016-12-11 09,9,14,61
2016-12-11 08,10,8,44
2016-12-11 07,3,5,63
2016-12-11 06,4,5,56
2016-12-11 05,20,14,41
2016-12-11 04,27,17,39
2016-12-11 03,18,48,73
2016-12-11 02,15,49,77
2016-12-11 01,4,76,95
2016-12-11 00,10,73,88
2016-12-10 23,10,67,87
2016-12-10 22,6,59,91
2016-12-10 21,0,69,100
2016-12-10 20,15,83,85
2016-12-10 19,18,63,78
2016-12-10 18,11,47,81
2016-12-10 17,3,40,93
2016-12-10 16,9,38,81
2016-12-10 15,6,29,83
2016-12-10 14,12,37,76
2016-12-10 13,6,22,79
2016-12-10 12,15,31,67
2016-12-10 11,7,34,83
2016-12-10 10,3,27,90
2016-12-10 09,9,17,65
2016-12-10 08,12,13,52
2016-12-10 07,3,9,75
2016-12-10 06,6,12,67
2016-12-10 05,18,24,57
2016-12-10 04,69,37,35
2016-12-10 03,63,46,42
2016-12-10 02,34,71,68
2016-12-10 01,10,87,90
2016-12-10 00,10,78,89
2016-12-09 23,4,74,95
2016-12-09 22,37,80,68
2016-12-09 21,64,102,61
2016-12-09 20,43,97,69
2016-12-09 19,27,106,80
2016-12-09 18,51,75,60
2016-12-09 17,22,56,72
2016-12-09 16,28,35,56
2016-12-09 15,19,53,74
